id,objectType,name,definition,component,domain,versionStatus,sourceVersion,sourceAuthority,sourceUrl,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"","Derived indicator","Maternal Mortality Ratio","The death of a woman while pregnant or within 42 days of delivery or termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental causes.","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Ratio","per 100,000","(Numerator ÷ denominator) × 1,00,000","Number of live births","The death of a woman while pregnant or within 42 days of delivery or termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental causes. Denominator population: Number of live births."
"","Derived indicator","ANC Moderately anaemic rate(Hb<11gm)","Percentage of pregnant women tested to be moderately anaemic (Hb level <11g)","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Percentage of pregnant women tested to be moderately anaemic (Hb level <11g). Denominator population: Total ANC registered."
"","Derived indicator","ANC hypertension new case detection rate","Percentage of pregnant women detected with hypertension/ high blood pressure (BP>140/90)","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","Percentage of pregnant women detected with hypertension/ high blood pressure (BP>140/90). Denominator population: Total ANC registered."
"","Derived indicator","ANC severely anaemic treated rate","Percentage of severely anaemic pregnant women treated ( Hb level <7g)","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registration","Percentage of severely anaemic pregnant women treated ( Hb level <7g). Denominator population: Total ANC registration."
"","Derived indicator","Eclampsia management rate","% of eclampsia cases managed during delivery","Delivery and intrapartum care","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total deliveries (home + institution)","% of eclampsia cases managed during delivery. Denominator population: Total deliveries (home + institution)."
"","Derived indicator","JSY registration rate","% of pregnant women who were registered under JSY scheme.","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC registered","% of pregnant women who were registered under JSY scheme. Denominator population: Total ANC registered."
"","Derived indicator","% Institutional Delivery Receiving JSY Benefit","Proportion of women who had institutional delivery received JSY benefit","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","No. of pregnant women registered for JSY","Proportion of women who had institutional delivery received JSY benefit. Denominator population: No. of pregnant women registered for JSY."
"","Derived indicator","IPD as percentage of OPD","Proportion of IPD out of total OPD.","Patient services and utilization","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Proportion of IPD out of total OPD. Denominator population: Total OPD."
"","Derived indicator","Operation major (General and spinal anaesthesia) as %of OPD","Percentage of major operations conducted against total OPD attendance","Patient services and utilization","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Percentage of major operations conducted against total OPD attendance. Denominator population: Total OPD."
"","Derived indicator","Operation minor (No or local anaesthesia) as % of OPD","Percentage of minor operations conducted against total OPD attendance","Patient services and utilization","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Percentage of minor operations conducted against total OPD attendance. Denominator population: Total OPD."
