ogd_code,published_label,object_class,exact_label_present_in_april_2025_forms,source_period,source_resource,currentness
171,% Children Inpatient to Total Inpatient,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
172,% Female Inpatient Deaths to Total Inpatient Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
173,% Inpatient Deaths to Total IPD,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
174,IPD (Number),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
175,OPD (Allopathic),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
176,Ayush OPD (Number),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
177,OPD(Ayush+Allopathic),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
178,% IPD to OPD,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
179,Number of Major Operations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
180,Number of Minor Operations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
181,% Major Operations to Total Operation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
182,Number of Hysterectomy Surgeries,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
183,% Hysterectomy Surgeries to Total Major Operations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
184,% AYUSH OPD to Total OPD,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
185,Dental OPD (Number),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
186,% Dental OPD to Total OPD,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
187,% Hb < 7 mg to Total Hb Tests Conducted,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
188,% Male HIV Positive to Total Males Tested,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
189,% Female screened for HIV to Total ANC Registration,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
190,% Female HIV Positive to Total Females Tested,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
191,% Total HIV Positive to Total Tested ( Male + Female),Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
192,% Plasmodium Vivax test positive to Total Blood Smears Examined,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
193,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
194,Total Number of Infant Deaths reported,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
195,% Deaths due to Sepsis to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
196,% Deaths due to Asphyxia to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
197,% Deaths due to Pneumonia to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
198,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
199,% Deaths due to Fever to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
200,% Deaths due to Measles to Total Reported Infant Deaths,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
201,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
202,Institutional Deliveries at District Hospitals,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
203,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
