legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'16.3.4',16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.3.5',16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.4.1',16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.4.2',16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.4.3',16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.4.4',16.4.4,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.4.5',16.4.5,Number of Child Deaths (1 -5 years) due to Others,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.1',16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.2',16.5.2,Number of Maternal Deaths due to High fever,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.3',16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.4',16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.5',16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.5.6',16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.6',16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.1',16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.10',16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.11',16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.12',16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.7.13',16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
